sidewalk,layer,lanes,amenity,tactile_paving,cycleway,note,:END_ID,tunnel,oneway,width,leaf_type,fixme,train,lcn_ref,area,bicycle_road,name,leaf_cycle,railway,capacity,maxspeed,bicycle_parking,description-covid19,landuse,cycleway-left,cycleway-right,surface,natural,level,leisure,wall,bridge,vehicle,bicycle,segregated,source,:TYPE,building,ref,foot,:START_ID,bench,osmId,highway,lit,public_transport,smoothness
,,,,,lane,,246568924,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,292423043,,22899968,secondary,,,
,,,,,lane,,246568925,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568924,,22899968,secondary,,,
,,,,,lane,,3505368368,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568925,,22899968,secondary,,,
,,,,,lane,,269842682,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,3505368368,,22899968,secondary,,,
,,,,,lane,,368222229,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,269842682,,22899968,secondary,,,
,,,,,lane,,2692659878,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,368222229,,22899968,secondary,,,
,,,,,lane,,269842680,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2692659878,,22899968,secondary,,,
,,,,,lane,,246568927,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,269842680,,22899968,secondary,,,
,,,,,lane,,246568928,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568927,,22899968,secondary,,,
,,,,,lane,,2621692842,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568928,,22899968,secondary,,,
,,,,,lane,,246568929,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2621692842,,22899968,secondary,,,
,,,,,lane,,2621692838,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568929,,22899968,secondary,,,
,,,,,lane,,2621692832,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2621692838,,22899968,secondary,,,
,,,,,lane,,246568931,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2621692832,,22899968,secondary,,,
,,,,,lane,,246568932,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568931,,22899968,secondary,,,
,,,,,lane,,292421436,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568932,,22899968,secondary,,,
,,,,,lane,,2356926097,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,292421436,,22899968,secondary,,,
,,,,,lane,,292421409,,yes,,,,,,,,Boulevard de l'Europe,,,,,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2356926097,,22899968,secondary,,,
,,2,,,,,2283021781,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,292480529,,26660882,residential,yes,,
,,2,,,,,292421953,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,2283021781,,26660882,residential,yes,,
,,2,,,,,1627899237,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,292421953,,26660882,residential,yes,,
,,2,,,,,1624518483,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,1627899237,,26660882,residential,yes,,
,,2,,,,,292421955,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,1624518483,,26660882,residential,yes,,
,,2,,,,,1624518485,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,292421955,,26660882,residential,yes,,
,,2,,,,,1624518480,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,1624518485,,26660882,residential,yes,,
,,2,,,,,292421907,,,,,,,,,,Boulevard de l'Yerres,,,,,,bande cyclable en montant et trajectoire axiale en descente,,shared_lane,lane,asphalt,,,,,,,,,Route500,NEXT_NODE,,,,1624518480,,26660882,residential,yes,,
,,,,,lane,,292421785,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,246568916,,26660922,secondary,yes,,
,,,,,lane,,2513693600,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,292421785,,26660922,secondary,yes,,
,,,,,lane,,292422901,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2513693600,,26660922,secondary,yes,,
,,,,,lane,,595359526,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,292422901,,26660922,secondary,yes,,
,,,,,lane,,1023737929,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,595359526,,26660922,secondary,yes,,
,,,,,lane,,2630227105,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,1023737929,,26660922,secondary,yes,,
,,,,,lane,,1678307098,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2630227105,,26660922,secondary,yes,,
,,,,,lane,,2228425647,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,1678307098,,26660922,secondary,yes,,
,,,,,lane,,292421789,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,2228425647,,26660922,secondary,yes,,
,,,,,lane,,1678307084,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,292421789,,26660922,secondary,yes,,
,,,,,lane,,292421786,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,1678307084,,26660922,secondary,yes,,
,,,,,lane,,1678307073,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,292421786,,26660922,secondary,yes,,
,,,,,lane,,292421772,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,1678307073,,26660922,secondary,yes,,
,,,,,lane,,1278399001,,yes,,,,,,,,Boulevard de France,,,,30,,bande cyclable temporaire 3 m à la place de la voie de droite,,,,asphalt,,,,,,,,,,NEXT_NODE,,D 91,,292421772,,26660922,secondary,yes,,
,,,,,,,1797092389,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421462,,26660951,,,,
,,,,,,,1797092393,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092389,,26660951,,,,
,,,,,,,1797092404,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092393,,26660951,,,,
,,,,,,,1797092401,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092404,,26660951,,,,
,,,,,,,1797092397,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092401,,26660951,,,,
,,,,,,,1797092395,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092397,,26660951,,,,
,,,,,,,1797092399,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092395,,26660951,,,,
,,,,,,,1797092403,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092399,,26660951,,,,
,,,,,,,1797092413,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092403,,26660951,,,,
,,,,,,,1797092416,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092413,,26660951,,,,
,,,,,,,1797092419,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092416,,26660951,,,,
,,,,,,,1797092422,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092419,,26660951,,,,
,,,,,,,1797092427,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092422,,26660951,,,,
,,,,,,,292421464,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092427,,26660951,,,,
,,,,,,,1016123012,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421464,,26660951,,,,
,,,,,,,1016123449,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1016123012,,26660951,,,,
,,,,,,,1016123447,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1016123449,,26660951,,,,
,,,,,,,1016123445,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1016123447,,26660951,,,,
,,,,,,,5494164700,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1016123445,,26660951,,,,
,,,,,,,1797092430,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,5494164700,,26660951,,,,
,,,,,,,1797092428,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092430,,26660951,,,,
,,,,,,,292421477,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092428,,26660951,,,,
,,,,,,,292421475,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421477,,26660951,,,,
,,,,,,,1797092391,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,292421475,,26660951,,,,
,,,,,,,292421473,,,,,,,,,,Parc des Coquibus,,,,,,,,,,,,,park,,,,,,,NEXT_NODE,,,,1797092391,,26660951,,,,
